sepal.length,sepal.width,variety
5.5,3.5,Setosa
6.7,3.1,Versicolor
6.8,2.8,Versicolor
4.9,2.5,Virginica
5.6,2.8,Virginica
5.7,2.5,Virginica
5.8,2.7,Virginica
5.8,2.8,Virginica
6,2.2,Virginica
6,3,Virginica
6.1,3,Virginica
6.1,2.6,Virginica
6.2,2.8,Virginica
6.3,3.3,Virginica
6.3,2.9,Virginica
6.3,2.7,Virginica
6.3,2.8,Virginica
6.3,3.4,Virginica
6.4,2.7,Virginica
6.4,3.2,Virginica
6.4,2.8,Virginica
6.4,2.8,Virginica
6.4,3.1,Virginica
6.5,3,Virginica
6.5,3.2,Virginica
6.5,3,Virginica
6.7,2.5,Virginica
6.7,3.3,Virginica
6.8,3,Virginica
6.9,3.2,Virginica
6.9,3.1,Virginica
7.1,3,Virginica
7.2,3.6,Virginica
7.2,3.2,Virginica
7.2,3,Virginica
7.3,2.9,Virginica
7.4,2.8,Virginica
7.6,3,Virginica
7.7,3.8,Virginica
7.7,2.6,Virginica
7.7,2.8,Virginica
7.7,3,Virginica
7.9,3.8,Virginica
